Packing Type	Packaging Title	Qty	G.W.	N.W.	Item Code
20 X 200 GM	COP-SWAD(20 X200 GM) --- CORIANDER POWDER	20	4.380	4.000	05117934420
12 X 280 GM	COP-NY(12 X 280 GM) --- CORIANDER POWDER (12 X 280 GM)	12	4.300	3.360	05117998078
12 X 280 GM	COP-NY(12 X 280 GM) --- CORIANDER POWDER (12 X 280 GM)	12	4.300	3.360	05117998078
20 X 400 GM	COP-SWAD(20 X400 GM) --- CORIANDER POWDER	20	8.520	8.000	05117934430
20 X 400 GM	COP-SWAD(20 X400 GM) --- CORIANDER POWDER	20	8.520	8.000	05117934430
5 X 56 OZ	COP-SWAD(5 X 56 OZ) --- CORIANDER POWDER	5	8.400	8.000	05117986041
5 X 56 OZ	COP-SWAD(5 X 56 OZ) --- CORIANDER POWDER	5	8.400	8.000	05117986041
10 X 800 GM	COP-SWAD(10 X800 GM) --- CORIANDER POWDER	10	8.490	8.000	05117934435
10 X 800 GM	COP-SWAD(10 X800 GM) --- CORIANDER POWDER	10	8.490	8.000	05117934435
12 X 100 GM	CS-SWAD(12 X 100 GM) --- CORIANDER SEEDS	12	2.860	1.200	05117961099
40 X 100 GM	CS-SWAD(40 X 100 GM) --- CORIANDER SEEDS	40	4.573	4.000	05117931795
12 X 100 GM	CS-SWAD(12 X 100 GM) --- CORIANDER SEEDS	12	2.860	1.200	05117961099
40 X 100 GM	CS-SWAD(40 X 100 GM) --- CORIANDER SEEDS	40	4.573	4.000	05117931795
20 X 200 GM	CS-SWAD(20 X 200 GM) --- CORIANDER SEEDS	20	4.520	4.000	05117931790
20 X 200 GM	CS-SWAD(20 X 200 GM) --- CORIANDER SEEDS	20	4.520	4.000	05117931790
5 X 3.5 LBS	CS-SWAD(5 X 3.5 LBS) --- CORIANDER SEEDS	5	8.680	7.945	05117985085
5 X 3.5 LBS	CS-SWAD(5 X 3.5 LBS) --- CORIANDER SEEDS	5	8.680	7.945	05117985085
10 X 400 GM	CS-SWAD(10 X 400 GM) --- CORIANDER SEEDS	10	4.490	4.000	05117931800
10 X 400 GM	CS-SWAD(10 X 400 GM) --- CORIANDER SEEDS	10	4.490	4.000	05117931800
5 X 56 OZ	CS-ALL(5 X 56 OZ) --- CORIANDER SEEDS	5	8.695	8.000	05117985085
5 X 56 OZ	CS-ALL(5 X 56 OZ) --- CORIANDER SEEDS	5	8.695	8.000	05117985085
10 X 800 GM	CS-SWAD(10 X 800 GM) --- CORIANDER SEEDS	10	8.620	8.000	05117985050
10 X 800 GM	CS-SWAD(10 X 800 GM) --- CORIANDER SEEDS	10	8.620	8.000	05117985050
16 X 2 LBS	CFF-SWAD(16 X 2 LBS) --- CORN FLOUR FINE	16	15.252	14.528	05117917135
16 X 2 LBS	CFF-SWAD(16 X 2 LBS) --- CORN FLOUR FINE	16	15.252	14.528	05117917135
10 X 4 LBS	CFF-SWAD(10 X 4 LBS) --- CORN FLOUR FINE	10	18.802	18.160	05117917130
10 X 4 LBS	CFF-SWAD(10 X 4 LBS) --- CORN FLOUR FINE	10	18.802	18.160	05117917130
20 X 2 LBS	COG-SWAD(20 X 2 LBS) --- CORN GRITS	20	18.880	18.160	05117917900
20 X 2 LBS	COG-SWAD(20 X 2 LBS) --- CORN GRITS	20	18.880	18.160	05117917900
10 X 4 LBS	COG-SWA(10 X 4 LBS) --- CORN GRITS	10	18.830	18.160	05117917910
10 X 4 LBS	COG-SWA(10 X 4 LBS) --- CORN GRITS	10	18.830	18.160	05117917910
20 X 400 GM	CP-SWAD(20 X 400 GM) --- CORN PAUVA	20	9.084	8.000	05117924022
20 X 400 GM	CP-SWAD(20 X 400 GM) --- CORN PAUVA	20	9.084	8.000	05117924022
20 X 100 PCS	CWL-SWC(20 X 100 PCS) --- COTTON WICKS LONG	20	0.442	0.300	05117942098
20 X 100 PCS	CWL-SWC(20 X 100 PCS) --- COTTON WICKS LONG	20	0.442	0.300	05117942098
20 X 100 PCS	CWR-SWAD(20X100 PCS) --- COTTON WICKS ROUND	20	0.442	0.300	05117942097
20 X 100 PCS	CWR-SWAD(20X100 PCS) --- COTTON WICKS ROUND	20	0.442	0.300	05117942097
40 X 100 GM	CUP-SWA(40 X 100 GM) --- CUMIN POWDER	40	4.467	4.000	05117934466
40 X 100 GM	CUP-SWA(40 X 100 GM) --- CUMIN POWDER	40	4.467	4.000	05117934466
12 X 180 GM	CUP-SWAN(12 X180 GM) --- CUMIN POWDER	12	3.820	2.160	05117961030
12 X 180 GM	CUP-SWAN(12 X180 GM) --- CUMIN POWDER	12	3.820	2.160	05117961030
12 X 200 GM	CUP-SWA(12 X 200 GM) --- CUMIN POWDER	12	3.024	2.400	05117961030
20 X 200 GM	CUP-SWAD(20 X200 GM) --- CUMIN POWDER	20	4.380	4.000	05117934460
12 X 200 GM	CUP-SWA(12 X 200 GM) --- CUMIN POWDER	12	3.024	2.400	05117961030
20 X 200 GM	CUP-SWAD(20 X200 GM) --- CUMIN POWDER	20	4.380	4.000	05117934460
12 X 300 GM	CUP-NY(12 X 300 GM) --- CUMIN POWDER (12 X 300 GM)	12	4.600	3.600	05117998084
12 X 300 GM	CUP-NY(12 X 300 GM) --- CUMIN POWDER (12 X 300 GM)	12	4.600	3.600	05117998084
20 X 400 GM	CUP-SWAD(20 X400 GM) --- CUMIN POWDER	20	8.520	8.000	05117934470
20 X 400 GM	CUP-SWAD(20 X400 GM) --- CUMIN POWDER	20	8.520	8.000	05117934470
5 X 56 OZ	CUP-SWAD(5 X 56 OZ) --- CUMIN POWDER	5	8.400	8.000	05117986047
5 X 56 OZ	CUP-SWAD(5 X 56 OZ) --- CUMIN POWDER	5	8.400	8.000	05117986047
10 X 800 GM	CUP-SWAD(10 X800 GM) --- CUMIN POWDER	10	8.490	8.000	05117934480
10 X 800 GM	CUP-SWAD(10 X800 GM) --- CUMIN POWDER	10	8.490	8.000	05117934480
40 X 100 GM	CUS-SWA(40 X 100 GM) --- CUMIN SEEDS	40	4.467	4.000	05117931845
20 X 100 GM	CUS-SWAD(20X100 GM) --- CUMIN SEEDS	20	2.300	2.000	05117931845
40 X 100 GM	CUS-SWA(40 X 100 GM) --- CUMIN SEEDS	40	4.467	4.000	05117931845
20 X 100 GM	CUS-SWAD(20X100 GM) --- CUMIN SEEDS	20	2.300	2.000	05117931845
20 X 200 GM	CUS-SWAD(20X200 GM) --- CUMIN SEEDS	20	4.380	4.000	05117931840
20 X 200 GM	CUS-SWAD(20X200 GM) --- CUMIN SEEDS	20	4.380	4.000	05117931840
12 X 280 GM	CUS-NY(12 X 280 GM) --- CUMIN SEEDS (12 X 280 GM)	12	4.300	3.360	05117998086
12 X 280 GM	CUS-NY(12 X 280 GM) --- CUMIN SEEDS (12 X 280 GM)	12	4.300	3.360	05117998086
20 X 400 GM	CUS-SWAD(20 X400 GM) --- CUMIN SEEDS	20	8.660	8.000	05117931850
20 X 400 GM	CUS-SWAD(20 X400 GM) --- CUMIN SEEDS	20	8.660	8.000	05117931850
5 X 56 OZ	CUS-SWAD(5 X 56 OZ) --- CUMIN SEEDS	5	8.540	8.000	05117985056
5 X 56 OZ	CUS-SWAD(5 X 56 OZ) --- CUMIN SEEDS	5	8.540	8.000	05117985056
10 X 800 GM	CUS-SWA(10 X 800 GM) --- CUMIN SEEDS	10	8.630	8.000	05117931860
10 X 800 GM	CUS-SWA(10 X 800 GM) --- CUMIN SEEDS	10	8.630	8.000	05117931860
20 X 200 GM	CPM-SWAD(20X200 GM) --- CURRY POWDER	20	4.435	4.000	05117934860
20 X 200 GM	CPM-SWAD(20X200 GM) --- CURRY POWDER	20	4.435	4.000	05117934860
40 X 100 GM	CPM-SWA(40 X 100 GM) --- CURRY POWDER MADRAS	40	4.520	4.000	05117934865
40 X 100 GM	CPM-SWA(40 X 100 GM) --- CURRY POWDER MADRAS	40	4.520	4.000	05117934865
12 X 170 GM	CPM-SWA(12 X 170 GM) --- CURRY POWDER MADRAS	12	2.664	2.040	05117961036
12 X 170 GM	CPM-SWA(12 X 170 GM) --- CURRY POWDER MADRAS	12	2.664	2.040	05117961036
12 X 200 GM	CPM-SWAN(12 X 200GM) --- CURRY POWDER MADRAS	12	4.060	2.400	05117961036
20 X 200 GM	CP-SWAD(20 X 200 GM) --- CURRY POWDER MADRAS	20	4.435	4.000	05117934860
12 X 200 GM	CPM-SWAN(12 X 200GM) --- CURRY POWDER MADRAS	12	4.060	2.400	05117961036
20 X 200 GM	CP-SWAD(20 X 200 GM) --- CURRY POWDER MADRAS	20	4.435	4.000	05117934860
20 X 400 GM	CPM-SWAD(20 X400 GM) --- CURRY POWDER MADRAS	20	8.533	8.000	05117934870
20 X 400 GM	CPM-SWAD(20 X400 GM) --- CURRY POWDER MADRAS	20	8.533	8.000	05117934870
20 X 2 LBS	DRB-SWAD(20 X 2 LBS) --- DEHRADUNI RICE	20	18.908	18.160	05117926250
20 X 2 LBS	DRB-SWAD(20 X 2 LBS) --- DEHRADUNI RICE	20	18.908	18.160	05117926250
10 X 4 LBS	DRB-SWAD(10 X 4 LBS) --- DEHRADUNI RICE	10	18.788	18.160	05117926245
10 X 4 LBS	DRB-SWAD(10 X 4 LBS) --- DEHRADUNI RICE	10	18.788	18.160	05117926245
20 X 200 GM	DD-SWAD(20 X 200 GM) --- DHANA DAL	20	4.380	4.000	05117931930
20 X 200 GM	DD-SWAD(20 X 200 GM) --- DHANA DAL	20	4.380	4.000	05117931930
20 X 400 GM	DD-SWAD(20 X 400 GM) --- DHANA DAL	20	8.500	8.000	05117931940
20 X 400 GM	DD-SWAD(20 X 400 GM) --- DHANA DAL	20	8.500	8.000	05117931940
5 X 56 OZ	DD-SWAD(5 X 56 OZ) --- DHANA DAL	5	8.380	8.000	05117985061
5 X 56 OZ	DD-SWAD(5 X 56 OZ) --- DHANA DAL	5	8.380	8.000	05117985061
10 X 800 GM	DD-SWAD(10 X 800 GM) --- DHANA DAL	10	8.470	8.000	05117931941
10 X 800 GM	DD-SWAD(10 X 800 GM) --- DHANA DAL	10	8.470	8.000	05117931941
10 X 200 GM	JD-SWAD(10 X 200 GM) --- DHANI	10	2.740	2.000	05117924142
10 X 200 GM	JD-SWAD(10 X 200 GM) --- DHANI	10	2.740	2.000	05117924142
16 X 2 LBS	DF-SWAD(16 X 2 LBS) --- DHOKLA FLOUR	16	15.212	14.528	05117917270
16 X 2 LBS	DF-SWAD(16 X 2 LBS) --- DHOKLA FLOUR	16	15.212	14.528	05117917270
20 X 200 GM	DS-SWAD(20 X 200 GM) --- DILL SEEDS	20	4.427	4.000	05117931980
20 X 200 GM	DS-SWAD(20 X 200 GM) --- DILL SEEDS	20	4.427	4.000	05117931980
